v_products_model,v_products_type,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_date_avail,v_specials_expires_date,v_products_price,v_products_price_uom,v_products_weight,v_product_is_call,v_products_sort_order,v_products_quantity_order_min,v_products_quantity_order_units,v_products_priced_by_attribute,v_product_is_always_free_shipping,v_date_avail,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1,v_html_uri
"0005-00000001-001","1","air_als/decomp.jpg","Angiocath 14 gauge x 3.25 inch, Decompression","Angiocath for chest decompression.    <i>Limit one per run number.</i>","","","","","10","EA","0","0","0","1","1","0","0","","2012-07-30 10:43:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://www.iemssupply.net/wayne/index.php?main_page=product_info&cPath=2&products_id=2"
"0005-00000002-001","1","/air_als/cpaplg.jpg","CPAP, Large Mask  Single Use Kit","","","","","","55.5","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://www.iemssupply.net/wayne/index.php?main_page=product_info&cPath=2&products_id=3"
"0005-00000003-001","1","/air_als/cpaplg.jpg","CPAP, Large Mask complete kit w/ Filter and T connector","Continuous Positive Airway Pressure therapy kit, size Large.   <i>Limit one per run number.</i>  <b>IEMS Restricted List</b>","","","","","55.83","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://www.iemssupply.net/wayne/index.php?main_page=product_info&cPath=2&products_id=4"
"0005-00000004-001","1","/air_als/cpapmd.jpg","CPAP, Medium Mask complete kit w/ Filter and T connector","Continuous Positive Airway Pressure kit, size Medium.     <i>Limit one per run number.</i>","","","","","55.83","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://www.iemssupply.net/wayne/index.php?main_page=product_info&cPath=2&products_id=5"
"0005-00000006-001","1","no_picture.gif","Cricothyroidotomy Kit, Needle"," ","","","","","0","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://www.iemssupply.net/wayne/index.php?main_page=product_info&cPath=2&products_id=6"
"0005-00000007-001","1","/air_als/crike.jpg","Cricothyroidotomy Kit, Surgical","Surgical Cricothyroidotomy kit. <b>Expires June 1, 2022.</b>","","","","","15.02","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://www.iemssupply.net/wayne/index.php?main_page=product_info&cPath=2&products_id=7"
"0005-00000008-001","1","/air_als/gripet.jpg","Endotracheal Tube Holder, Adult","<i>Sold by the each, limit 14.</i>","","","","","4.07","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://www.iemssupply.net/wayne/index.php?main_page=product_info&cPath=2&products_id=8"
"0005-00000009-003","1","air_als/curaplex25et.jpg","Endotracheal Tube w/ Stylet, 02.5 mm Un-Cuffed","<i>Sold by the each. </i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://www.iemssupply.net/wayne/index.php?main_page=product_info&cPath=2&products_id=9"
"0005-00000010-003","1","air_als/curaplex30et.jpg","Endotracheal Tube w/ Stylet, 03 mm Un-Cuffed","<i>Sold by the each. </i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://www.iemssupply.net/wayne/index.php?main_page=product_info&cPath=2&products_id=10"
"0005-00000011-003","1","air_als/curaplex35et.jpg","Endotracheal Tube w/ Stylet, 03.5 mm Un-Cuffed","<i>Sold by the each. </i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://www.iemssupply.net/wayne/index.php?main_page=product_info&cPath=2&products_id=11"
