v_products_id,v_products_type,v_products_quantity,v_products_price_uom,v_products_model,v_products_image,v_products_price,v_products_virtual,v_products_date_added,v_products_last_modified,v_products_date_available,v_products_weight,v_products_status,v_products_ordered,v_products_quantity_order_min,v_products_quantity_order_units,v_products_priced_by_attribute,v_product_is_free,v_product_is_call,v_products_quantity_mixed,v_product_is_always_free_shipping,v_products_qty_box_status,v_products_quantity_order_max,v_products_sort_order,v_products_discount_type,v_products_discount_type_from,v_products_price_sorter,v_products_mixed_discount_quantity,v_metatags_title_status,v_metatags_products_name_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_products_name_en,v_products_description_en,v_products_url_en,v_products_viewed_en,v_metatags_title_en,v_metatags_keywords_en,v_metatags_description_en,v_manufacturers_name,v_tax_class_title,v_categories_name,v_products_link,v_dbio_command
2,1,1,EA,0005-00000001-001,air_als/decomp.jpg,10.0000,0,"2012-07-30 10:43:00","2023-01-20 14:45:46",,0,1,865,1,1,0,0,0,1,0,1,0,0,0,0,10.0000,0,0,0,0,0,0,"Angiocath 14 gauge x 3.25 inch, Decompression","Angiocath for chest decompression.",,260,,,,,,"Airway / ALS",http://iemssupply.net/external/index.php?main_page=product_info&products_id=2,
6,1,0,EA,0005-00000006-001,no_picture.gif,0.0000,0,"2012-07-30 11:06:00","2015-11-20 14:47:37",,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.0000,1,0,0,0,0,0,"Cricothyroidotomy Kit, Needle"," ",,1,,,,,,"Airway / ALS",http://iemssupply.net/external/index.php?main_page=product_info&products_id=6,
7,1,0,EA,0005-00000007-001,/air_als/crike.jpg,15.0200,0,"2012-07-30 11:06:00","2023-01-13 17:57:33",,0,1,439,1,1,0,0,0,0,0,1,0,0,0,0,15.0200,1,0,0,0,0,0,"Cricothyroidotomy Kit, Surgical","Surgical Cricothyroidotomy kit.  <b>Expires February 1, 2024.</b>",,108,,,,,,"Airway / ALS",http://iemssupply.net/external/index.php?main_page=product_info&products_id=7,
8,1,0,EA,0005-00000008-001,/air_als/gripet.jpg,4.0700,0,"2012-07-30 11:06:00","2019-08-08 08:00:36",,0,0,396,1,1,0,0,0,0,0,1,0,0,0,0,4.0700,1,0,0,0,0,0,"Endotracheal Tube Holder, Adult","<i>Sold by the each, limit 14.</i>",,25,,,,,,"Airway / ALS",http://iemssupply.net/external/index.php?main_page=product_info&products_id=8,
9,1,0,EA,0005-00000009-003,air_als/curaplex25et.jpg,2.2600,0,"2012-07-30 11:06:00","2019-11-12 11:07:49",,0,0,327,1,1,0,0,0,0,0,1,0,0,0,0,2.2600,1,0,0,0,0,0,"Endotracheal Tube w/ Stylet, 02.5 mm Un-Cuffed","<i>Sold by the each. 10 each per box.</i>",,20,,,,,,"Airway / ALS",http://iemssupply.net/external/index.php?main_page=product_info&products_id=9,
10,1,0,EA,0005-00000010-003,air_als/curaplex30et.jpg,2.2600,0,"2012-07-30 11:06:00","2019-12-04 18:50:54",,0,0,444,1,1,0,0,0,0,0,1,0,0,0,0,2.2600,1,0,0,0,0,0,"Endotracheal Tube w/ Stylet, 03 mm Un-Cuffed","<i>Sold by the each. 10 each per box.</i>",,21,,,,,,"Airway / ALS",http://iemssupply.net/external/index.php?main_page=product_info&products_id=10,
11,1,0,EA,0005-00000011-003,air_als/curaplex35et.jpg,2.2600,0,"2012-07-30 11:06:00","2019-11-12 11:07:59",,0,0,357,1,1,0,0,0,0,0,1,0,0,0,0,2.2600,1,0,0,0,0,0,"Endotracheal Tube w/ Stylet, 03.5 mm Un-Cuffed","<i>Sold by the each. 10 each per box.</i>",,21,,,,,,"Airway / ALS",http://iemssupply.net/external/index.php?main_page=product_info&products_id=11,
12,1,0,EA,0005-00000012-003,air_als/curaplex40et.jpg,2.2600,0,"2012-07-30 11:06:00","2019-11-12 11:08:31",,0,0,585,1,1,0,0,0,0,0,1,0,0,0,0,2.2600,1,0,0,0,0,0,"Endotracheal Tube w/ Stylet, 04 mm Un-Cuffed","<i>Sold by the each. 10 each per box.</i>",,27,,,,,,"Airway / ALS",http://iemssupply.net/external/index.php?main_page=product_info&products_id=12,
13,1,0,EA,0005-00000013-003,air_als/curaplex45et.jpg,2.2600,0,"2012-07-30 11:06:00","2019-12-04 18:52:40",,0,0,458,1,1,0,0,0,1,0,1,0,0,0,0,2.2600,1,0,0,0,0,0,"Endotracheal Tube w/ Stylet, 04.5 mm Un-Cuffed","<i>Sold by the each. 10 each per box.</i>",,52,,,,,,"Airway / ALS",http://iemssupply.net/external/index.php?main_page=product_info&products_id=13,
14,1,0,EA,0005-00000014-003,air_als/curaplex50et.jpg,2.2600,0,"2012-07-30 11:06:00","2021-02-02 15:55:08",,0,0,664,1,1,0,0,0,0,0,1,0,0,0,0,2.2600,1,0,0,0,0,0,"Endotracheal Tube w/ Stylet, 05 mm Un-Cuffed","<i>Sold by the each. 10 each per box.</i>",,23,,,,,,"Airway / ALS",http://iemssupply.net/external/index.php?main_page=product_info&products_id=14,
